Topic,Proportion
Customer Satisfaction,0.3559322033898305
Collaborative Streetworks,0.1864406779661017
Innovation,0.11864406779661017
Vulnerability,0.1016949152542373
Climate and Carbon Commitments,0.05084745762711865
Emergency Service,0.03389830508474576
Physical Security and Cyber Resilience,0.03389830508474576
Net Zero Emissions in the Energy System,0.03389830508474576
Gas Supply,0.03389830508474576
Guaranteed Standards of Performance (GSOP),0.01694915254237288
Unplanned Interruptions,0.01694915254237288
Carbon Monoxide Awareness,0.01694915254237288
